y1,x1
0.580962002,0.104869485
0.461058527,0.139252096
0.543410778,-0.073601931
0.584580123,0.086821526
0.580286443,0.399358273
0.624352396,0.16807723
0.487293005,0.251562566
0.570964515,0.267502725
0.595501363,0.152754664
0.630411804,0.202391267
0.741885185,0.237819701
0.772442758,0.487999678
0.714029431,0.544885516
0.735451043,0.485805213
0.580522299,0.485999525
0.491779417,0.032944798
0.409508616,-0.013780028
0.532890975,-0.180982739
0.498783916,0.065781981
0.562117517,0.265316248
0.540533781,0.130080462
0.46743682,0.087058067
0.650681317,0.198123664
0.699222386,0.309831083
0.533744156,0.398444772
0.67384547,0.091963708
0.636181653,0.34769091
0.59705013,0.272363305
0.51590836,0.000112861
0.61008817,0.066486865
0.519192934,0.006700665
0.400003791,-0.053275347
0.56222558,-0.199992418
0.549105465,0.12445116
0.531092405,0.277932286
0.539984822,0.116078675
0.545640588,0.115429908
0.546318233,0.336987793
0.581348598,0.111888736
0.464603513,0.181116849
0.696456671,0.054073513
0.664928317,0.392913312
0.521043301,0.329856664
0.713492155,0.268980056
0.713196516,0.432751954
0.420540988,-0.117628068
0.311273634,-0.148335248
0.509055495,-0.372337937
0.479567945,0.01811102
0.509577036,0.036212653
0.473281503,0.019154072
0.426273286,-0.04079181
0.370578617,-0.080035865
0.416363239,-0.239536673
0.374229014,-0.167273521
0.464590073,-0.407878995
0.270671397,-0.070819855
0.234377041,-0.447107166
0.37628898,-0.506412268
0.298737645,-0.228280872
0.456550777,-0.036621153
0.380744934,-0.055007577
0.537978768,-0.238510132
0.550993919,0.075957537
0.590628147,0.346044689
0.563150764,0.181256294
0.54745096,0.126301527
0.327493012,-0.024358571
0.523190916,-0.337630272
0.503653467,0.046381831
0.391094506,-0.088403821
0.263613105,-0.217810988
0.472475678,-0.47277379
0.52049458,-0.06672886
0.498826027,0.06132105
0.476797432,0.174936295
0.377122819,-0.012190819
0.510699153,-0.245754361
0.566194654,0.27301988
0.641978264,0.136602819
0.589580655,0.283956558
0.358245343,-0.279662102
0.332705766,-0.283509284
0.256296992,-0.33013913
0.489264816,-0.323790818
0.395929754,-0.006967992
0.485531449,-0.004506737
0.385496408,-0.020095199
0.560377657,-0.229007214
0.539753139,0.120755315
0.541749835,0.249966741
0.519737661,0.100409321
0.49746564,0.048967648
0.503779829,-0.001065105
