y1,y2,x1
0.482893547,-0.204174592,0.977818596
-0.490098153,-0.334804274,-0.204509093
-0.869755167,-0.400711882,-0.768604442
0.774572861,0.046138951,-0.860502643
-0.828899702,-0.414444045,-0.512501219
-1.501723275,-4.295642946,0.584020852
-0.869192132,-0.522674476,-0.319875294
0.10890642,-1.648916415,0.944125001
-1.352000133,-0.581079598,-0.668289031
-1.661214187,-1.451037938,-0.081792668
-0.527881269,-0.27752565,-0.656503846
2.04984545,0.878035559,-0.537045796
1.887969492,3.680905018,0.545623892
0.361066657,-0.03547141,-0.807396917
-0.927849394,-0.786909603,-0.09310446
-1.157275381,-0.486289318,-0.830598574
0.016482424,-0.032259355,0.121331734
0.794193154,-0.042681959,-0.9825908
1.244080918,3.083247677,0.971474181
-2.159643546,-1.238681414,-0.366830392
1.216750173,1.672462163,0.278897884
0.837758571,0.451037453,-0.409553529
0.645119706,0.467795185,0.993407388
-0.084100083,-1.72702818,0.812042641
-1.150243701,-7.279233201,0.977478288
0.048683656,-0.157453321,-0.868708521
-1.925551324,-2.970567989,0.254077517
0.924825228,0.904138233,-0.019049918
0.816830154,1.270076428,0.942048826
-0.587207733,-0.367336568,-0.275558305
-0.181230899,-0.5830525,0.359986922
0.298511979,0.128509509,-0.472560139
-0.082267312,-0.101814135,-0.628571477
1.122060411,0.366114276,-0.629713557
0.13571017,0.118572108,-0.241406507
0.401591684,0.135121892,0.694048784
-0.394273493,-0.390864535,-0.003847733
-0.770127407,-2.523914909,0.581171147
-0.145141912,-1.348591764,0.676927744
-0.006533331,0.013288251,-0.08619227
0.061002306,-0.577300368,0.598951629
-0.496759954,-0.324164723,-0.236113878
2.040791663,3.905716091,0.519402463
1.677436913,1.411255986,-0.126448796
1.307198725,2.967916695,0.808435441
-0.044213704,-0.017562685,-0.360930172
-0.958054892,-0.429137291,-0.834861815
-0.517658087,-2.154171386,0.632578159
0.302412558,-0.380006541,0.796952441
-0.776453327,-5.181965082,0.932992795
0.24587723,0.239212867,0.146137766
1.981472475,3.441771218,0.440158993
-0.517019534,-1.781085745,0.548117248
0.331954786,0.333913765,0.255521601
0.3781845,0.33552036,0.445978683
-0.60182239,-0.403574086,-0.226337442
-0.267463871,-0.184573282,-0.674418444
0.042321071,-0.052085996,-0.625543433
1.368591026,1.013009309,-0.217501052
1.027449422,0.508556716,-0.452197581
-0.479798798,-0.255590609,-0.616164504
0.101259306,0.099891501,0.008783613
2.961913963,5.976465531,0.527680714
-0.383591995,-0.995947007,0.387337741
1.001438766,1.10845254,0.088108377
0.381632262,0.395422048,0.318174453
-1.481303148,-1.333544982,-0.06254324
-0.707310677,-0.660080425,-0.036388922
-0.571306124,-0.336083828,-0.325872803
-0.088536603,-0.045366278,-0.150947397
1.458226387,0.763585077,-0.425969738
0.767580006,0.933004567,0.202383064
2.359100688,5.594646629,0.681484653
2.24423326,3.084628985,0.241674095
-0.704451945,-0.345524031,-0.730896762
-0.118556372,-0.205576266,0.135444859
-0.718381335,-0.583853353,-0.113147338
-0.264031161,-0.19577542,-0.124049155
0.922580052,1.191495294,0.247234465
0.714490624,0.932326657,0.865306684
0.919518339,1.650242758,0.776985167
0.117293625,-0.857371107,0.757081122
0.301216188,0.107841095,-0.515646105
-0.074337382,-0.62283641,0.482907594
