y1,y2,y3,y4,x1,x2
2.075993822,-0.955678189,7.972465737,0.141468502,1.134965089,0.412239996
2.851541092,-1.69973902,17.31444444,0.067223054,1.111931845,0.146276751
-1.141795063,2.593922504,0.319245442,4.923021676,-0.870777634,5.051578376
2.91137818,3.374185659,18.38211498,10.74226176,0.210731585,1.680800057
1.433601243,1.245732874,4.193774832,1.278557992,0.069395647,0.945681042
-2.314441663,1.224158031,0.098821344,1.251268743,-1.662648853,2.006551566
2.703689023,1.567702571,14.93472477,1.764209246,0.81083998,1.054973532
-1.130193989,-0.227100541,0.322970598,0.293141298,-1.912345796,0.269743574
-0.294348792,-1.608817735,0.745016591,0.073621532,-1.246753429,0.119664168
2.19184328,0.382493729,8.951698407,0.539287599,0.998154445,0.812143209
1.700472052,2.042601299,5.476531988,2.836586235,-0.540872745,0.731405993
1.06527955,-0.197510328,2.901650028,0.301945021,-0.216375791,0.347067598
-2.05414652,1.004594813,0.128202207,1.004605385,-1.621937293,1.517741835
-3.391145835,-1.687877189,0.033670074,0.068025191,-1.450963965,0.729459424
2.651295514,3.363254619,14.17238729,10.62547712,0.350909731,2.283134168
0.693245998,2.891974447,2.000197644,6.632451187,-0.174546929,3.637410537
0.096667032,0.04615227,1.10149355,0.385255808,-0.59142847,0.535205241
-0.057204681,0.631116079,0.944400749,0.691505675,-1.334027261,0.416800848
0.175273443,2.036256609,1.191571999,2.818645948,-1.097298501,1.154141691
4.648056735,3.731685771,104.3819466,15.35875656,2.036103609,4.158646386
1.429242982,-0.683146767,4.175537037,0.185788422,-0.326489593,0.176444407
2.943144119,0.52602933,18.97541357,0.622525511,0.774005212,0.43283242
2.252074584,0.00093606,9.507439376,0.36822396,0.785006401,0.488824077
0.155517425,-0.427120259,1.168262292,0.239999063,0.76324608,1.454730933
2.062038887,5.194817691,7.861983177,66.34163579,0.29480876,10.84092107
-0.934662626,0.248001818,0.392718336,0.471423621,-1.252355924,0.628818283
-0.670051136,0.20445389,0.511682412,0.451334689,-1.009503753,0.652789603
0.656334408,-3.025395205,1.927713158,0.017856366,0.751391195,0.182118954
-1.440680324,-1.040396089,0.236766626,0.129977218,-1.308353513,0.35292583
2.209251706,2.571044003,9.108897707,4.81166897,0.527540097,2.157035795
